initial_name,capacity,number_of_nodes,highest_dist,lowest_dist,mean_dist,median_dist,25th_dist,75th_dist,sd_dist,highest_demand,lowest_demand,mean_demand,median_demand,25th_demand,75th_demand,sd_demand,original_objective,10x_split_objective,rounded_split_objective,split_in_10x,split_in_rounded,num_of_10x_splits,num_of_rounded_splits
p10_1090,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,179,20,105.3969849,111,69,144,44.94271274,6261.56,5648.83,5648.83,yes,yes,105,105
p10_110,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,19,2,11.16080402,12,7,15,5.056889559,1095.25,1116.79,1116.79,yes,yes,6,6
p10_3070,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,139,60,102.4321608,105,84,122,22.46189785,6306.07,5556.46,5556.46,yes,yes,92,92
p10_7090,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,179,140,160.9949749,162,152,171,11.21354954,9608.4,8375.49,8375.49,yes,yes,171,171
p11_00,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,35,2,11.45833333,11,7,14.25,5.361740752,1042.11,1052.49,1052.49,yes,yes,2,2
p11_1030,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,59,20,42.3,45,32.75,52,11.24247897,2941.98,2934.65,2934.65,yes,yes,25,25
p11_1050,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,99,21,65.03333333,70.5,45.75,84,22.47588832,4338.49,4309.68,4309.68,yes,yes,31,31
p11_1090,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,179,22,110.5833333,121.5,71.5,149,44.99344088,7804.21,7079.25,7079.25,yes,yes,66,66
p11_110,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,19,2,11.73333333,13,7,16,5.075649931,1045.91,1064.7,1064.7,yes,yes,2,2
p11_3070,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,139,61,105.0333333,110.5,85.75,124,22.47588832,7765.78,6796.52,6796.52,yes,yes,59,59
p11_7090,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,179,140,162.3,165,152.75,172,11.24247897,12239.31,10551.92,10551.92,yes,yes,111,111
